[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/kit-07, knobImage=270x270, meterVUFrame=0x0, meterLEDStrip=0x0, filesFound=396, knobFrames=396, vuFrames=0, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[resized] ledMeter1=24 24 104 378 ledMeter2=1099 24 104 378 waveform=148 16 936 731 transport=160 747 912 40
[resized] ledMeter1=24 24 104 379 ledMeter2=1104 24 104 379 waveform=148 16 949 736 transport=160 752 925 40
[resized] ledMeter1=24 24 104 382 ledMeter2=1117 24 104 382 waveform=148 16 957 740 transport=160 756 933 40
[resized] ledMeter1=24 24 104 384 ledMeter2=1125 24 104 384 waveform=148 16 980 748 transport=160 764 956 40
[resized] ledMeter1=24 24 104 388 ledMeter2=1148 24 104 388 waveform=148 16 1020 759 transport=160 775 996 40
[resized] ledMeter1=24 24 104 393 ledMeter2=1188 24 104 393 waveform=148 16 1047 763 transport=160 779 1023 40
[resized] ledMeter1=24 24 104 395 ledMeter2=1215 24 104 395 waveform=148 16 1058 764 transport=160 780 1034 40
[resized] ledMeter1=24 24 104 396 ledMeter2=1226 24 104 396 waveform=148 16 1076 764 transport=160 780 1052 40
[resized] ledMeter1=24 24 104 396 ledMeter2=1244 24 104 396 waveform=148 16 1083 762 transport=160 778 1059 40
[resized] ledMeter1=24 24 104 395 ledMeter2=1251 24 104 395 waveform=148 16 1090 759 transport=160 775 1066 40
[resized] ledMeter1=24 24 104 393 ledMeter2=1258 24 104 393 waveform=148 16 1090 756 transport=160 772 1066 40
[resized] ledMeter1=24 24 104 392 ledMeter2=1258 24 104 392 waveform=148 16 1087 751 transport=160 767 1063 40
[resized] ledMeter1=24 24 104 389 ledMeter2=1255 24 104 389 waveform=148 16 1086 747 transport=160 763 1062 40
[resized] ledMeter1=24 24 104 387 ledMeter2=1254 24 104 387 waveform=148 16 1086 745 transport=160 761 1062 40
[resized] ledMeter1=24 24 104 386 ledMeter2=1254 24 104 386 waveform=148 16 1086 746 transport=160 762 1062 40
[resized] ledMeter1=24 24 104 387 ledMeter2=1254 24 104 387 waveform=148 16 1086 750 transport=160 766 1062 40
[resized] ledMeter1=24 24 104 389 ledMeter2=1254 24 104 389 waveform=148 16 1088 753 transport=160 769 1064 40
[resized] ledMeter1=24 24 104 390 ledMeter2=1256 24 104 390 waveform=148 16 1089 757 transport=160 773 1065 40
[resized] ledMeter1=24 24 104 392 ledMeter2=1257 24 104 392 waveform=148 16 1097 774 transport=160 790 1073 40
[resized] ledMeter1=24 24 104 401 ledMeter2=1265 24 104 401 waveform=148 16 1102 787 transport=160 803 1078 40
[resized] ledMeter1=24 24 104 407 ledMeter2=1270 24 104 407 waveform=148 16 1108 802 transport=160 818 1084 40
[resized] ledMeter1=24 24 104 415 ledMeter2=1276 24 104 415 waveform=148 16 1117 824 transport=160 840 1093 40
[resized] ledMeter1=24 24 104 426 ledMeter2=1285 24 104 426 waveform=148 16 1120 832 transport=160 848 1096 40
[resized] ledMeter1=24 24 104 430 ledMeter2=1288 24 104 430 waveform=148 16 1127 849 transport=160 865 1103 40
[resized] ledMeter1=24 24 104 438 ledMeter2=1295 24 104 438 waveform=148 16 1135 873 transport=160 889 1111 40
[resized] ledMeter1=24 24 104 450 ledMeter2=1303 24 104 450 waveform=148 16 1139 886 transport=160 902 1115 40
[resized] ledMeter1=24 24 104 457 ledMeter2=1307 24 104 457 waveform=148 16 1141 891 transport=160 907 1117 40
[resized] ledMeter1=24 24 104 459 ledMeter2=1309 24 104 459 waveform=148 16 1142 897 transport=160 913 1118 40
[resized] ledMeter1=24 24 104 462 ledMeter2=1310 24 104 462 waveform=148 16 1142 898 transport=160 914 1118 40
[resized] ledMeter1=24 24 104 463 ledMeter2=1310 24 104 463 waveform=148 16 1141 899 transport=160 915 1117 40
[resized] ledMeter1=24 24 104 463 ledMeter2=1309 24 104 463 waveform=148 16 1140 900 transport=160 916 1116 40
[resized] ledMeter1=24 24 104 464 ledMeter2=1308 24 104 464 waveform=148 16 1139 901 transport=160 917 1115 40
[resized] ledMeter1=24 24 104 464 ledMeter2=1307 24 104 464 waveform=148 16 1138 903 transport=160 919 1114 40
[resized] ledMeter1=24 24 104 465 ledMeter2=1306 24 104 465 waveform=148 16 1136 906 transport=160 922 1112 40
[resized] ledMeter1=24 24 104 467 ledMeter2=1304 24 104 467 waveform=148 16 1135 911 transport=160 927 1111 40
[resized] ledMeter1=24 24 104 469 ledMeter2=1303 24 104 469 waveform=148 16 1134 916 transport=160 932 1110 40
[resized] ledMeter1=24 24 104 472 ledMeter2=1302 24 104 472 waveform=148 16 1134 922 transport=160 938 1110 40
[resized] ledMeter1=24 24 104 475 ledMeter2=1302 24 104 475 waveform=148 16 1134 925 transport=160 941 1110 40
[resized] ledMeter1=24 24 104 476 ledMeter2=1302 24 104 476 waveform=148 16 1134 928 transport=160 944 1110 40
[resized] ledMeter1=24 24 104 478 ledMeter2=1302 24 104 478 waveform=148 16 1134 931 transport=160 947 1110 40
[resized] ledMeter1=24 24 104 479 ledMeter2=1302 24 104 479 waveform=148 16 1134 932 transport=160 948 1110 40
[resized] ledMeter1=24 24 104 480 ledMeter2=1302 24 104 480 waveform=148 16 1135 934 transport=160 950 1111 40
[resized] ledMeter1=24 24 104 481 ledMeter2=1303 24 104 481 waveform=148 16 1135 935 transport=160 951 1111 40
[resized] ledMeter1=24 24 104 481 ledMeter2=1303 24 104 481 waveform=148 16 1135 936 transport=160 952 1111 40
[resized] ledMeter1=24 24 104 482 ledMeter2=1303 24 104 482 waveform=148 16 1135 938 transport=160 954 1111 40
[resized] ledMeter1=24 24 104 483 ledMeter2=1303 24 104 483 waveform=148 16 1135 939 transport=160 955 1111 40
[resized] ledMeter1=24 24 104 483 ledMeter2=1303 24 104 483 waveform=148 16 1134 942 transport=160 958 1110 40
[resized] ledMeter1=24 24 104 485 ledMeter2=1302 24 104 485 waveform=148 16 1134 944 transport=160 960 1110 40
[resized] ledMeter1=24 24 104 486 ledMeter2=1302 24 104 486 waveform=148 16 1134 948 transport=160 964 1110 40
[resized] ledMeter1=24 24 104 488 ledMeter2=1302 24 104 488 waveform=148 16 1134 951 transport=160 967 1110 40
[resized] ledMeter1=24 24 104 489 ledMeter2=1302 24 104 489 waveform=148 16 1134 954 transport=160 970 1110 40
[resized] ledMeter1=24 24 104 491 ledMeter2=1302 24 104 491 waveform=148 16 1134 956 transport=160 972 1110 40
[resized] ledMeter1=24 24 104 492 ledMeter2=1302 24 104 492 waveform=148 16 1134 959 transport=160 975 1110 40
[resized] ledMeter1=24 24 104 493 ledMeter2=1302 24 104 493 waveform=148 16 1135 961 transport=160 977 1111 40
[UI] Action clicked
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/kit-07, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=396, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/knob-70, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=513, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/knob-70, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=513, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[UI] Action clicked
[UI] Action clicked
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/kit-07, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=396, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/knob-70, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=513, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
